Time,Population,Organism,ID,Pathogens,Protection,Alive
31.057537643469576,my_population,Host,my_population_28,"","",True
31.057537643469576,my_population,Host,my_population_29,"","",True
31.057537643469576,my_population,Host,my_population_30,"","",True
31.057537643469576,my_population,Host,my_population_31,"","",True
31.057537643469576,my_population,Host,my_population_32,"BADD/BEST/BADD/BEST;BEST/BADD/BEST/BADD","",True
31.057537643469576,my_population,Host,my_population_33,"","",True
31.057537643469576,my_population,Host,my_population_34,"","",True
31.057537643469576,my_population,Host,my_population_35,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_36,"","",True
31.057537643469576,my_population,Host,my_population_37,"","",True
31.057537643469576,my_population,Host,my_population_38,"","",True
31.057537643469576,my_population,Host,my_population_39,"","",True
31.057537643469576,my_population,Host,my_population_40,"","",True
31.057537643469576,my_population,Host,my_population_41,"","",True
31.057537643469576,my_population,Host,my_population_42,"","",True
31.057537643469576,my_population,Host,my_population_43,"","",True
31.057537643469576,my_population,Host,my_population_44,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_45,"","",True
31.057537643469576,my_population,Host,my_population_46,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_47,"","",True
31.057537643469576,my_population,Host,my_population_48,"","",True
31.057537643469576,my_population,Host,my_population_49,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_50,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_51,"","",True
31.057537643469576,my_population,Host,my_population_52,"","",True
31.057537643469576,my_population,Host,my_population_53,"","",True
31.057537643469576,my_population,Host,my_population_54,"","",True
31.057537643469576,my_population,Host,my_population_55,"","",True
31.057537643469576,my_population,Host,my_population_56,"","",True
31.057537643469576,my_population,Host,my_population_57,"","",True
31.057537643469576,my_population,Host,my_population_58,"BADD/BEST/BADD/BEST;BEST/BADD/BEST/BADD","",True
31.057537643469576,my_population,Host,my_population_59,"","",True
31.057537643469576,my_population,Host,my_population_60,"","",True
31.057537643469576,my_population,Host,my_population_61,"","",True
31.057537643469576,my_population,Host,my_population_62,"","",True
31.057537643469576,my_population,Host,my_population_63,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_64,"","",True
31.057537643469576,my_population,Host,my_population_65,"","",True
31.057537643469576,my_population,Host,my_population_66,"","",True
31.057537643469576,my_population,Host,my_population_67,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_68,"","",True
31.057537643469576,my_population,Host,my_population_69,"","",True
31.057537643469576,my_population,Host,my_population_70,"","",True
31.057537643469576,my_population,Host,my_population_71,"","",True
31.057537643469576,my_population,Host,my_population_72,"","",True
31.057537643469576,my_population,Host,my_population_73,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_74,"","",True
31.057537643469576,my_population,Host,my_population_75,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_76,"","",True
31.057537643469576,my_population,Host,my_population_77,"","",True
31.057537643469576,my_population,Host,my_population_78,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_79,"","",True
31.057537643469576,my_population,Host,my_population_80,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_81,"","",True
31.057537643469576,my_population,Host,my_population_82,"","",True
31.057537643469576,my_population,Host,my_population_83,"","",True
31.057537643469576,my_population,Host,my_population_84,"","",True
31.057537643469576,my_population,Host,my_population_85,"","",True
31.057537643469576,my_population,Host,my_population_86,"","",True
31.057537643469576,my_population,Host,my_population_87,"","",True
31.057537643469576,my_population,Host,my_population_88,"","",True
31.057537643469576,my_population,Host,my_population_89,"","",True
31.057537643469576,my_population,Host,my_population_90,"","",True
31.057537643469576,my_population,Host,my_population_91,"","",True
31.057537643469576,my_population,Host,my_population_92,"","",True
31.057537643469576,my_population,Host,my_population_93,"","",True
31.057537643469576,my_population,Host,my_population_94,"","",True
31.057537643469576,my_population,Host,my_population_95,"","",True
31.057537643469576,my_population,Host,my_population_96,"","",True
31.057537643469576,my_population,Host,my_population_97,"BADD/BEST/BADD/BEST","",True
31.057537643469576,my_population,Host,my_population_98,"","",True
31.057537643469576,my_population,Host,my_population_99,"","",True
53.20435219195912,my_population,Host,my_population_0,"","",True
53.20435219195912,my_population,Host,my_population_1,"","",True
53.20435219195912,my_population,Host,my_population_2,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_3,"","",True
53.20435219195912,my_population,Host,my_population_4,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_5,"","",True
53.20435219195912,my_population,Host,my_population_6,"","",True
53.20435219195912,my_population,Host,my_population_7,"","",True
53.20435219195912,my_population,Host,my_population_8,"","",True
53.20435219195912,my_population,Host,my_population_9,"","",True
53.20435219195912,my_population,Host,my_population_10,"","",True
53.20435219195912,my_population,Host,my_population_11,"","",True
53.20435219195912,my_population,Host,my_population_12,"","",True
53.20435219195912,my_population,Host,my_population_13,"","",True
53.20435219195912,my_population,Host,my_population_14,"","",True
53.20435219195912,my_population,Host,my_population_15,"","",True
53.20435219195912,my_population,Host,my_population_16,"","",True
53.20435219195912,my_population,Host,my_population_17,"","",True
53.20435219195912,my_population,Host,my_population_18,"BADD/BEST/BADD/BEST;BEST/BADD/BEST/BADD","",True
53.20435219195912,my_population,Host,my_population_19,"","",True
53.20435219195912,my_population,Host,my_population_20,"","",True
53.20435219195912,my_population,Host,my_population_21,"","",True
53.20435219195912,my_population,Host,my_population_22,"","",True
53.20435219195912,my_population,Host,my_population_23,"BADD/BEST/BADD/BEST","",True
53.20435219195912,my_population,Host,my_population_24,"","",True
53.20435219195912,my_population,Host,my_population_25,"","",True
53.20435219195912,my_population,Host,my_population_26,"","",True
53.20435219195912,my_population,Host,my_population_27,"","",True
53.20435219195912,my_population,Host,my_population_28,"","",True
53.20435219195912,my_population,Host,my_population_29,"","",True
53.20435219195912,my_population,Host,my_population_30,"","",True
53.20435219195912,my_population,Host,my_population_31,"","",True
